Date_TimeUTC,Date_TimeEU,User,Id,Source,Tweet.content,Tweet.URL,Outlinks,ReplyCount,RetweetCount,LikeCount,QuoteCount,ViewCount,Language,Hashtags,Media+,MentionedUsers,inReplyToUser,inReplyToTweetId,Year
2012-01-01 20:49:05,2012-01-01 21:49:05,elonmusk,153578511687368704,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",I said *information* weapons for a reason. The bit is mightier than the bomb.,https://twitter.com/elonmusk/status/153578511687368704,[],13,24,48,4,,en,,,,,,2012
2012-01-01 20:41:34,2012-01-01 21:41:34,elonmusk,153576623101312992,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","If we are not careful, we will find that knife against liberty's neck. Fate has a great sense of irony. http://t.co/OQ2u1zHQ",https://twitter.com/elonmusk/status/153576623101313025,['http://boingboing.net/2011/12/31/aclu-fights-kafkaesque-secret.html?utm_source=dlvr.it&utm_medium=twitter'],64,17,23,7,,en,,,,,,2012
2012-01-01 21:52:44,2012-01-01 22:52:44,elonmusk,153594528908058592,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","On a lighter note, the RHCP are f* awesome. No better way to bring in the New Year... http://t.co/TlkAdzsk",https://twitter.com/elonmusk/status/153594528908058624,[],7,18,97,4,,en,,"[Photo(previewUrl='https://pbs.twimg.com/media/AiGtaQdCIAE5uq6?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/AiGtaQdCIAE5uq6?format=jpg&name=large', altText=None)]",,,,2012
2012-01-01 16:54:27,2012-01-01 17:54:27,elonmusk,153519464653127712,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@FareedZakaria However, China's real estate crisis will explode in a way that makes ours look puny. They can't hide it for much longer.",https://twitter.com/elonmusk/status/153519464653127680,[],3,3,8,0,,en,,,"[User(username='FareedZakaria', id=41814169, displayname='Fareed Zakaria', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",https://twitter.com/FareedZakaria,1.535074811617116e+17,2012
2012-01-01 16:40:27,2012-01-01 17:40:27,elonmusk,153515940707975200,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","My first prediction of 2012 has come true: ouch, my head hurts.",https://twitter.com/elonmusk/status/153515940707975169,[],21,19,321,1,,en,,,,,,2012
2012-01-01 20:33:16,2012-01-01 21:33:16,elonmusk,153574532031070208,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","We built powerful information weapons to fight enemies of liberty. Now those enemies are largely defeated, but the weapons remain.",https://twitter.com/elonmusk/status/153574532031070208,[],27,30,47,31,,en,,,,,,2012
2012-01-01 16:49:40,2012-01-01 17:49:40,elonmusk,153518263001808896,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@FareedZakaria Yeah, 2012 will be great for the American economy & jobs, as we've mostly dealt with the overbuilt housing crisis.",https://twitter.com/elonmusk/status/153518263001808896,[],15,2,31,1,,en,,,"[User(username='FareedZakaria', id=41814169, displayname='Fareed Zakaria', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",https://twitter.com/FareedZakaria,1.535074811617116e+17,2012
2012-01-03 06:58:13,2012-01-03 07:58:13,elonmusk,154094195089473504,Twitter for iPhone,"What everyone really thinks ... RT “@jonlovett: If Mayans were good at predicting the future, there'd be Mayans.”",https://twitter.com/elonmusk/status/154094195089473536,[],5,91,34,0,,en,,,"[User(username='jonlovett', id=174110843, displayname='Jon Lovett', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,2012
2012-01-03 21:04:51,2012-01-03 22:04:51,elonmusk,154307255536324608,Twitter for iPhone,"@om Respectfully disagree. Larry  made awesome moves last year, which laid the foundation for G+ to kick butt in 2012. He's a stud.",https://twitter.com/elonmusk/status/154307255536324608,[],15,12,24,7,,en,,,"[User(username='om', id=989, displayname='OM', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",https://twitter.com/om,1.542494855292559e+17,2012
2012-01-03 21:28:25,2012-01-03 22:28:25,elonmusk,154313189079777312,Twitter for iPhone,Just finished Massie's book on Catherine. An amazingly expansive and compelling portrait of an incredible woman. Highly recommend.,https://twitter.com/elonmusk/status/154313189079777280,[],9,4,31,2,,en,,,,,,2012
